slide_id,patch_id
CHS017-WSI05,"CHS017-WSI05 [d=4,x=82432,y=53760,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=64512,y=46592,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=50176,y=64512,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=107520,y=68096,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=75264,y=78848,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=78848,y=35840,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=121856,y=35840,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=100352,y=71680,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=103936,y=32256,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=86016,y=82432,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=78848,y=71680,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=96768,y=86016,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=64512,y=75264,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=71680,y=43008,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=100352,y=32256,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=86016,y=43008,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=129024,y=39424,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=82432,y=75264,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=64512,y=71680,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=103936,y=39424,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=114688,y=43008,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=78848,y=43008,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=118272,y=17920,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=96768,y=46592,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=100352,y=28672,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=114688,y=32256,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=103936,y=64512,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=114688,y=68096,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=103936,y=71680,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=82432,y=39424,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=93184,y=43008,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=86016,y=78848,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=60928,y=71680,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=89600,y=68096,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=71680,y=46592,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=93184,y=57344,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=82432,y=35840,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=53760,y=53760,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=71680,y=78848,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=86016,y=64512,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=89600,y=89600,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=114688,y=21504,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=114688,y=53760,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=107520,y=21504,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=60928,y=53760,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=107520,y=43008,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=93184,y=64512,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=96768,y=57344,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=89600,y=46592,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=64512,y=78848,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=71680,y=60928,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=107520,y=32256,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=103936,y=53760,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=111104,y=32256,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=57344,y=53760,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=75264,y=60928,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=64512,y=68096,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=86016,y=46592,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=103936,y=28672,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=68096,y=57344,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=118272,y=39424,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=86016,y=57344,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=57344,y=68096,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=103936,y=50176,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=82432,y=50176,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=78848,y=68096,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=71680,y=35840,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=60928,y=75264,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=96768,y=35840,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=107520,y=71680,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=125440,y=28672,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=68096,y=39424,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=86016,y=60928,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=118272,y=35840,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=60928,y=50176,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=75264,y=43008,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=53760,y=68096,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=100352,y=39424,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=82432,y=82432,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=118272,y=57344,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=114688,y=57344,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=118272,y=53760,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=75264,y=75264,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=89600,y=78848,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=100352,y=64512,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=118272,y=32256,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=118272,y=14336,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=118272,y=60928,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=100352,y=60928,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=107520,y=57344,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=60928,y=57344,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=111104,y=71680,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=114688,y=75264,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=111104,y=50176,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=114688,y=78848,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=64512,y=43008,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=100352,y=43008,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=82432,y=57344,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=107520,y=75264,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=75264,y=57344,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=114688,y=64512,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=60928,y=78848,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=89600,y=82432,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=111104,y=82432,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=50176,y=68096,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=68096,y=78848,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=68096,y=60928,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=86016,y=53760,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=71680,y=68096,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=121856,y=39424,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=75264,y=53760,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=96768,y=53760,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=78848,y=60928,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=64512,y=53760,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=125440,y=39424,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=75264,y=64512,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=96768,y=71680,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=121856,y=25088,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=86016,y=86016,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=64512,y=64512,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=93184,y=53760,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=50176,y=57344,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=57344,y=50176,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=57344,y=60928,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=60928,y=68096,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=100352,y=46592,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=78848,y=46592,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=103936,y=60928,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=121856,y=17920,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=125440,y=35840,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=111104,y=68096,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=118272,y=25088,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=125440,y=25088,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=78848,y=50176,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=118272,y=64512,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=129024,y=35840,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=93184,y=86016,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=121856,y=28672,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=107520,y=78848,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=107520,y=82432,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=111104,y=53760,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=60928,y=60928,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=82432,y=64512,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=86016,y=68096,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=100352,y=57344,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=86016,y=50176,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=60928,y=64512,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=53760,y=57344,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=93184,y=50176,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=103936,y=46592,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=114688,y=50176,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=114688,y=82432,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=121856,y=50176,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=103936,y=75264,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=71680,y=71680,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=111104,y=25088,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=53760,y=64512,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=118272,y=50176,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=53760,y=60928,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=103936,y=35840,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=78848,y=57344,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=96768,y=60928,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=103936,y=68096,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=111104,y=35840,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=111104,y=39424,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=86016,y=71680,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=96768,y=43008,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=111104,y=43008,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=89600,y=60928,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=114688,y=35840,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=64512,y=39424,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=96768,y=78848,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=121856,y=32256,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=75264,y=39424,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=118272,y=21504,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=111104,y=64512,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=111104,y=46592,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=89600,y=43008,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=96768,y=50176,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=89600,y=64512,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=118272,y=43008,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=68096,y=71680,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=93184,y=60928,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=93184,y=35840,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=75264,y=46592,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=100352,y=53760,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=107520,y=53760,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=125440,y=32256,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=89600,y=71680,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=114688,y=60928,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=89600,y=57344,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=82432,y=71680,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=86016,y=75264,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=114688,y=28672,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=82432,y=78848,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=93184,y=71680,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=93184,y=46592,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=114688,y=39424,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=71680,y=50176,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=114688,y=46592,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=57344,y=64512,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=100352,y=68096,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=64512,y=60928,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=125440,y=21504,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=107520,y=64512,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=71680,y=64512,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=71680,y=75264,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=121856,y=53760,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=71680,y=57344,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=68096,y=53760,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=78848,y=64512,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=68096,y=75264,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=107520,y=60928,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=89600,y=50176,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=93184,y=89600,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=89600,y=39424,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=96768,y=75264,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=125440,y=46592,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=121856,y=21504,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=96768,y=39424,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=107520,y=28672,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=118272,y=46592,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=107520,y=86016,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=93184,y=75264,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=57344,y=71680,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=75264,y=50176,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=121856,y=14336,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=50176,y=53760,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=103936,y=57344,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=96768,y=89600,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=103936,y=43008,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=111104,y=21504,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=107520,y=39424,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=89600,y=86016,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=93184,y=82432,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=111104,y=28672,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=75264,y=71680,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=111104,y=78848,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=103936,y=78848,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=82432,y=60928,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=57344,y=57344,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=68096,y=68096,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=60928,y=46592,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=53760,y=71680,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=93184,y=39424,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=64512,y=50176,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=125440,y=43008,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=103936,y=25088,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=68096,y=64512,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=107520,y=25088,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=93184,y=78848,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=71680,y=39424,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=121856,y=46592,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=89600,y=53760,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=93184,y=68096,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=64512,y=57344,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=107520,y=46592,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=111104,y=75264,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=100352,y=50176,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=103936,y=82432,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=82432,y=68096,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=118272,y=28672,w=4096,h=4096]"
CHS017-WSI05,"CHS017-WSI05 [d=4,x=50176,y=60928,w=4096,h=4096]"
CHS002-WSI05,"CHS002-WSI05 [d=4,x=28672,y=86016,w=4096,h=4096]"
CHS002-WSI05,"CHS002-WSI05 [d=4,x=28672,y=82432,w=4096,h=4096]"
